                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    116,                 1.4571,                0.78792,                 1.2458,                0.87841,                0.71513,                0.78355,                0.37641,                 1.7413,                0.76549,                  1.427,               0.007723,               0.007723,               0.007723
                    117,                 1.4545,                0.78649,                 1.2423,                0.85723,                0.72868,                0.78903,                0.38026,                 1.7372,                0.76482,                 1.4254,              0.0077032,              0.0077032,              0.0077032
                    118,                 1.4525,                0.78173,                   1.24,                0.85388,                0.72678,                0.78024,                0.38387,                 1.7459,                0.76798,                 1.4228,              0.0076834,              0.0076834,              0.0076834
                    119,                 1.4528,                0.78553,                 1.2463,                0.85892,                0.74039,                 0.7811,                0.38519,                 1.7479,                0.77028,                 1.4258,              0.0076636,              0.0076636,              0.0076636
                    120,                 1.4531,                0.78084,                 1.2425,                0.85526,                0.72844,                0.77996,                0.38379,                 1.7491,                0.76948,                 1.4247,              0.0076438,              0.0076438,              0.0076438
                    121,                 1.4386,                0.77356,                 1.2356,                0.85686,                0.72251,                0.77822,                0.37949,                 1.7422,                 0.7691,                  1.426,               0.007624,               0.007624,               0.007624
                    122,                 1.4427,                0.77867,                 1.2426,                0.83944,                0.74206,                0.78384,                0.38505,                 1.7461,                 0.7638,                 1.4316,              0.0076042,              0.0076042,              0.0076042
                    123,                 1.4407,                0.77556,                  1.241,                0.83973,                0.74223,                0.78871,                0.37938,                 1.7366,                 0.7696,                  1.423,              0.0075844,              0.0075844,              0.0075844
                    124,                 1.4442,                0.77313,                 1.2337,                0.83051,                0.72875,                0.78912,                0.38812,                 1.7393,                0.76818,                 1.4241,              0.0075646,              0.0075646,              0.0075646
                    125,                 1.4402,                 0.7779,                 1.2352,                0.87687,                0.70994,                0.78627,                0.38205,                 1.7388,                0.76511,                 1.4275,              0.0075448,              0.0075448,              0.0075448
                    126,                  1.435,                0.77072,                 1.2365,                0.86565,                0.71566,                0.78783,                0.38113,                 1.7405,                 0.7642,                 1.4255,               0.007525,               0.007525,               0.007525
                    127,                 1.4364,                0.76981,                 1.2359,                0.86099,                0.73153,                0.79881,                0.38935,                 1.7364,                0.76028,                 1.4201,              0.0075052,              0.0075052,              0.0075052
                    128,                  1.433,                0.76642,                 1.2336,                0.84687,                0.72257,                0.80467,                0.39978,                 1.7461,                 0.7647,                 1.4273,              0.0074854,              0.0074854,              0.0074854
                    129,                 1.4378,                0.76876,                 1.2329,                0.83542,                0.74616,                0.79213,                0.39105,                 1.7425,                0.75916,                  1.426,              0.0074656,              0.0074656,              0.0074656
                    130,                 1.4319,                0.76968,                  1.235,                 0.8481,                0.74354,                0.79516,                0.38962,                  1.745,                0.75443,                 1.4242,              0.0074458,              0.0074458,              0.0074458
                    131,                 1.4371,                0.76661,                 1.2311,                0.84359,                0.74282,                0.80081,                0.39393,                 1.7456,                0.75392,                 1.4241,               0.007426,               0.007426,               0.007426
                    132,                  1.431,                0.76959,                  1.229,                0.86924,                0.73307,                0.80274,                0.38532,                 1.7527,                0.75695,                 1.4288,              0.0074062,              0.0074062,              0.0074062
                    133,                 1.4298,                0.76037,                 1.2262,                0.87254,                0.72456,                0.79508,                 0.3838,                 1.7546,                0.75007,                 1.4269,              0.0073864,              0.0073864,              0.0073864
                    134,                 1.4286,                0.76474,                 1.2255,                0.86249,                0.72632,                0.79191,                0.38985,                 1.7499,                0.74782,                 1.4267,              0.0073666,              0.0073666,              0.0073666
                    135,                 1.4236,                0.75746,                 1.2272,                0.85943,                0.72134,                0.79048,                0.38437,                 1.7504,                0.74853,                 1.4271,              0.0073468,              0.0073468,              0.0073468
                    136,                 1.4181,                0.75705,                 1.2277,                0.84603,                0.72975,                 0.7894,                0.37803,                 1.7464,                 0.7522,                  1.424,               0.007327,               0.007327,               0.007327
                    137,                 1.4262,                0.76231,                 1.2291,                0.82498,                0.74064,                 0.7846,                0.37551,                 1.7414,                0.74676,                 1.4215,              0.0073072,              0.0073072,              0.0073072
                    138,                 1.4212,                0.75647,                 1.2175,                0.82731,                0.73473,                0.78945,                0.38293,                  1.739,                 0.7483,                 1.4191,              0.0072874,              0.0072874,              0.0072874
                    139,                 1.4197,                0.75363,                 1.2205,                0.83389,                0.73043,                0.77564,                0.38139,                 1.7417,                0.75036,                 1.4204,              0.0072676,              0.0072676,              0.0072676
                    140,                 1.4136,                0.74921,                 1.2224,                0.82427,                0.74288,                0.78481,                0.38665,                 1.7462,                0.74655,                 1.4227,              0.0072478,              0.0072478,              0.0072478
                    141,                 1.4154,                0.75389,                 1.2169,                0.80964,                0.75033,                0.78404,                0.38801,                 1.7396,                0.74649,                 1.4206,               0.007228,               0.007228,               0.007228
                    142,                 1.4123,                 0.7484,                 1.2174,                0.81942,                0.74177,                0.78141,                 0.3865,                 1.7416,                0.74887,                 1.4211,              0.0072082,              0.0072082,              0.0072082
                    143,                 1.4175,                0.74917,                 1.2182,                0.85931,                0.71968,                0.79342,                0.38779,                 1.7403,                0.74769,                 1.4194,              0.0071884,              0.0071884,              0.0071884
                    144,                  1.414,                0.75533,                 1.2158,                0.83754,                0.72918,                0.80141,                0.39887,                 1.7435,                0.74898,                 1.4204,              0.0071686,              0.0071686,              0.0071686
                    145,                 1.4149,                0.74784,                  1.216,                0.85896,                0.69524,                0.80423,                0.39545,                 1.7419,                0.74713,                  1.417,              0.0071488,              0.0071488,              0.0071488
                    146,                 1.4119,                0.74555,                 1.2129,                0.86535,                 0.6976,                0.81112,                0.41255,                 1.7391,                0.74913,                 1.4165,               0.007129,               0.007129,               0.007129
                    147,                 1.4098,                0.74864,                 1.2123,                0.83888,                0.72131,                0.81787,                0.40861,                 1.7304,                0.74726,                 1.4126,              0.0071092,              0.0071092,              0.0071092
                    148,                 1.4124,                0.75067,                 1.2161,                0.85188,                0.71126,                0.81663,                0.40022,                 1.7331,                0.74447,                 1.4132,              0.0070894,              0.0070894,              0.0070894
